
-0.189825, -0.197116, -0.205709, -0.208313, -0.214301, -0.225238, -0.211698, -0.193210, -0.178368, -0.170816, -0.183315, -0.174722, -0.140611, -0.110666, -0.089835, -0.080200, -0.044266, -0.010416, 0.019529, 0.041923, 0.060411, 0.066920, 0.085669, 0.096084, 0.107802
-0.155453, -0.161703, -0.176545, -0.173681, -0.181232, -0.179670, -0.167431, -0.153630, -0.129935, -0.133580, -0.139830, -0.133841, -0.101813, -0.075253, -0.050516, -0.039840, -0.011978, 0.019529, 0.044527, 0.060411, 0.069004, 0.075774, 0.084367, 0.096084, 0.104417
-0.145038, -0.151547, -0.157536, -0.161442, -0.165088, -0.163005, -0.153370, -0.139830, -0.115353, -0.120561, -0.118217, -0.111708, -0.084887, -0.044787, -0.030986, -0.022133, -0.000521, 0.029164, 0.047391, 0.052339, 0.052859, 0.050255, 0.064056, 0.081502, 0.080461
-0.128633, -0.138267, -0.148162, -0.140351, -0.145298, -0.132018, -0.122384, -0.107541, -0.093741, -0.101032, -0.100250, -0.092699, -0.063015, -0.031247, -0.011718, -0.013540, 0.005468, 0.028383, 0.045568, 0.045048, 0.038277, 0.038017, 0.050776, 0.052339, 0.053120
-0.095043, -0.106239, -0.102334, -0.107021, -0.101292, -0.103635, -0.094782, -0.082283, -0.077076, -0.073170, -0.072649, -0.068743, -0.038277, 0.001562, 0.003125, -0.000521, 0.012238, 0.035674, 0.035674, 0.033590, 0.016144, 0.021352, 0.021352, 0.023956, 0.023435
-0.077336, -0.079159, -0.069524, -0.071607, -0.073170, -0.073430, -0.070045, -0.051037, -0.040361, -0.036455, -0.038017, -0.037236, -0.012499, 0.006510, 0.021092, 0.007291, 0.005729, 0.029945, 0.034111, 0.017707, 0.003385, -0.007551, 0.000521, 0.005729, -0.003125
-0.055463, -0.047391, -0.030986, -0.044527, -0.047912, -0.060150, -0.047651, -0.035153, -0.027601, -0.015623, -0.021612, -0.021612, 0.000781, 0.020310, 0.021352, 0.012499, 0.002604, 0.012759, 0.007812, -0.001823, -0.028903, -0.046089, -0.041663, -0.039579, -0.049995
-0.037757, -0.032549, -0.029424, -0.024737, -0.034111, -0.046089, -0.038017, -0.028643, -0.015623, -0.000781, -0.000260, -0.016665, 0.004947, 0.018488, 0.025518, 0.007031, -0.004947, -0.005729, -0.010936, -0.036455, -0.057807, -0.072649, -0.071087, -0.067181, -0.085669
-0.027341, -0.008593, -0.013540, -0.017707, -0.029164, -0.044787, -0.032809, -0.027862, -0.003385, 0.004166, 0.000781, -0.001823, -0.001823, 0.018227, 0.056505, -0.019009, -0.032028, -0.027862, -0.027862, -0.054422, -0.088533, -0.112749, -0.116134, -0.119519, -0.128633
-0.042964, -0.041142, -0.034892, -0.030205, -0.035413, -0.039840, -0.041663, -0.025258, 0.000260, 0.003645, -0.006770, -0.017707, -0.013280, -0.008333, -0.023956, -0.038277, -0.052599, -0.050516, -0.061192, -0.082023, -0.112749, -0.132799, -0.135924, -0.141392, -0.163786
-0.044787, -0.041142, -0.039579, -0.023956, -0.032288, -0.040361, -0.027862, -0.019269, -0.001042, 0.005729, -0.007812, -0.018227, -0.017186, -0.003906, -0.029164, -0.057546, -0.080721, -0.069004, -0.087491, -0.107281, -0.130456, -0.153370, -0.152849, -0.160661, -0.190346
